"plot_id","inv_date","pBA_ABCO","pBA_CADE","pBA_OTHER","pBA_PILA","pBA_PIPO","pBA_PSME","pBA_(all)","azimuth","count_1h","count_10h","count_100h","duff_depth","litter_depth","sum_d2_r","sum_d2_s","litter_coeff","duff_coeff","x1h_coeff","x10h_coeff","x100h_coeff","x1000s_coeff","x1000r_coeff","x1h_L","x10h_L","x100h_L","x1000h_L","slp_c","fuelload_litter_tonha","fuelload_duff_tonha","fuelload_1h_tonha","fuelload_10h_tonha","fuelload_100h_tonha","fuelload_1000s_tonha","fuelload_1000r_tonha","fuelload_1000h_tonha","fuelload_surface_tonha","fuelload_total_tonha"
"0060-00027",2009-06-01,0,1,0,0,0,0,1,175,13,3,1,1,1,0,0,1.276,1.675,0.054162,0.677484,11.777535,0.4346,0.3816,2,2,3,11.3,1,12.76,16.75,0.434433402,1.254022884,4.84449273,0,0,0,19.292949016,36.042949016
"0060-00101",2001-06-01,0.0757203857481778,0.896716643763219,0,0,0,0.0275629704886038,1,216,22,5,3,6,2.5,676,81,1.24753124897961,1.65329948194359,0.0528773116902108,0.685804687639526,11.2901805197822,0.423881716745233,0.380038579669015,1.83,1.83,3.05,11.34,1,31.1882812244902,99.1979689166156,0.784433474188986,2.31224859165895,13.7036879620438,3.73621456045441,27.9560936986435,31.6923082590979,79.6809595114798,178.878928428095
"0060-00101",2001-06-01,0.0757203857481778,0.896716643763219,0,0,0,0.0275629704886038,1,86,27,4,0,7.5,3.5,144,0,1.24753124897961,1.65329948194359,0.0528773116902108,0.685804687639526,11.2901805197822,0.423881716745233,0.380038579669015,1.83,1.83,3.05,11.34,1,43.6635937142863,123.997461145769,0.962713809231937,1.84979887332716,0,0,5.95514421982939,5.95514421982939,52.4312506166747,176.428711762444
"0060-00101",2003-06-01,0.0866993783934904,0.882763299433367,0,0,0,0.0305373221731432,1,86,11,0,1,0,0,0,0,1.24382456374774,1.65051691089858,0.052708834106684,0.68684483909595,11.2234152007848,0.422406615186661,0.379819542469271,1.83,1.83,3.05,11.34,1,0,0,0.390967056920289,0,4.54088339598964,0,0,0,4.93185045290993,4.93185045290993
"0060-00101",2003-06-01,0.0866993783934904,0.882763299433367,0,0,0,0.0305373221731432,1,216,9,0,1,1.5,0,0,0,1.24382456374774,1.65051691089858,0.052708834106684,0.68684483909595,11.2234152007848,0.422406615186661,0.379819542469271,1.83,1.83,3.05,11.34,1,0,24.7577536634788,0.319882137480236,0,4.54088339598964,0,0,0,4.86076553346988,29.6185191969486
"0060-00101",2009-06-01,0.100377179896743,0.865737387497582,0,0,0,0.0338854326056751,1,71,21,2,0,0,1,0,0,1.2393539591098,1.64717756874859,0.0525051262962397,0.688082092044846,11.1416261661103,0.420596355114019,0.379549235647098,2,2,3,11.3,1,12.393539591098,0,0.680308921420377,0.84909330158334,0,0,0,0,13.9229418141017,13.9229418141017
"0060-00101",2009-06-01,0.100377179896743,0.865737387497582,0,0,0,0.0338854326056751,1,216,8,4,0,0,1.5,0,0,1.2393539591098,1.64717756874859,0.0525051262962397,0.688082092044846,11.1416261661103,0.420596355114019,0.379549235647098,2,2,3,11.3,1,18.590309386647,0,0.259165303398239,1.69818660316668,0,0,0,0,20.5476612932119,20.5476612932119
"0060-00102",2001-06-01,0.113313807433979,0.261052871241201,0.362941273827885,0.262692047496935,0,0,1,71,14,4,4,8,4,121,0,0.663689026348041,1.61113924651831,0.0642552093295739,0.762597428981819,8.58092191871034,0.440463339991633,0.3714969230101,1.83,1.83,3.05,11.34,1,26.5475610539216,128.891139721465,0.606597265780174,2.05692945871817,13.8870264231981,0,4.89150719244533,4.89150719244533,47.9896213940634,176.880761115528
"0060-00102",2001-06-01,0.113313807433979,0.261052871241201,0.362941273827885,0.262692047496935,0,0,1,347,10,5,5,7.5,5,144,0,0.663689026348041,1.61113924651831,0.0642552093295739,0.762597428981819,8.58092191871034,0.440463339991633,0.3714969230101,1.83,1.83,3.05,11.34,1,33.184451317402,120.835443488873,0.433283761271553,2.57116182339772,17.3587830289976,0,5.82129781580271,5.82129781580271,59.3689777468717,180.204421235745
"0060-00102",2003-06-01,0.12141211514613,0.244600682206495,0.354788269519969,0.279198933127407,0,0,1,71,15,10,9,1.5,0.5,0,1646,0.653257808905404,1.60465091579351,0.0643321522405327,0.766012856554509,8.49995440547847,0.439302601459195,0.371290282368506,1.83,1.83,3.05,11.34,1,3.26628904452702,24.0697637369026,0.65070390053129,5.16535445348778,30.9509815171291,78.685681586443,0,78.685681586443,118.719010502118,142.788774239021
"0060-00102",2003-06-01,0.12141211514613,0.244600682206495,0.354788269519969,0.279198933127407,0,0,1,347,21,8,5,0.75,0.5,0,1771,0.653257808905404,1.60465091579351,0.0643321522405327,0.766012856554509,8.49995440547847,0.439302601459195,0.371290282368506,1.83,1.83,3.05,11.34,1,3.26628904452702,12.0348818684513,0.910985460743806,4.13228356279023,17.1949897317384,84.6612041856565,0,84.6612041856565,110.165751985456,122.200633853907
"0060-00102",2009-06-01,0.0971170488171114,0.322314327515452,0.215640987214636,0.3649276364528,0,0,1,71,10,6,0,0,0,392,1000,0.702461663008248,1.57411088680648,0.0638382689075076,0.773579835186622,8.77431937639269,0.436489393461905,0.372805444431711,2,2,3,11.3,1,0,0,0.393882119159322,2.86379254986087,0,47.6661868612381,15.9589762853153,63.6251631465534,66.8828378155736,66.8828378155736
"0060-00102",2009-06-01,0.0971170488171114,0.322314327515452,0.215640987214636,0.3649276364528,0,0,1,347,13,9,5,0.5,0.5,3602,962,0.702461663008248,1.57411088680648,0.0638382689075076,0.773579835186622,8.77431937639269,0.436489393461905,0.372805444431711,2,2,3,11.3,1,3.51230831504124,7.8705544340324,0.512046754907119,4.29568882479131,18.0458501841143,45.8548717605111,146.643450458433,192.498322218944,218.864216297798,226.73477073183
